date,store_id,sales
2021-01-01,S001,99.53
2021-01-01,S002,64.91
2021-01-01,S003,104.37
2021-01-02,S001,109.6
2021-01-02,S002,70.17
2021-01-02,S003,151.54
2021-01-03,S001,116.04
2021-01-03,S002,76.18
2021-01-03,S003,148.21
2021-01-04,S001,108.2
2021-01-04,S002,58.34
2021-01-04,S003,112.24
2021-01-05,S001,94.3
2021-01-05,S002,63.67
2021-01-05,S003,109.78
2021-01-06,S001,94.48
2021-01-06,S002,76.71
2021-01-06,S003,110.91
2021-01-07,S001,109.16
2021-01-07,S002,63.39
2021-01-07,S003,131.87
2021-01-08,S001,102.86
2021-01-08,S002,63.56
2021-01-08,S003,132.89
2021-01-09,S001,108.15
2021-01-09,S002,81.62
2021-01-09,S003,134.76
2021-01-10,S001,116.45
2021-01-10,S002,78.69
2021-01-10,S003,146.38
2021-01-11,S001,93.61
2021-01-11,S002,66.58
2021-01-11,S003,128.89
2021-01-12,S001,93.81
2021-01-12,S002,71.64
2021-01-12,S003,124.93
2021-01-13,S001,99.69
2021-01-13,S002,74.59
2021-01-13,S003,135.88
2021-01-14,S001,82.68
2021-01-14,S002,75.75
2021-01-14,S003,118.73
2021-01-15,S001,84.42
2021-01-15,S002,84.39
2021-01-15,S003,137.82
2021-01-16,S001,108.96
2021-01-16,S002,87.71
2021-01-16,S003,138.08
2021-01-17,S001,105.6
2021-01-17,S002,101.26
2021-01-17,S003,158.44
2021-01-18,S001,101.48
2021-01-18,S002,62.41
2021-01-18,S003,121.43
2021-01-19,S001,91.96
2021-01-19,S002,85.59
2021-01-19,S003,126.95
2021-01-20,S001,88.19
2021-01-20,S002,66.07
2021-01-20,S003,130.53
2021-01-21,S001,111.49
2021-01-21,S002,67.11
2021-01-21,S003,130.78
2021-01-22,S001,98.24
2021-01-22,S002,68.66
2021-01-22,S003,134.6
2021-01-23,S001,115.87
2021-01-23,S002,83.14
2021-01-23,S003,135.7
2021-01-24,S001,104.22
2021-01-24,S002,85.85
2021-01-24,S003,146.01
2021-01-25,S001,96.57
2021-01-25,S002,65.8
2021-01-25,S003,132.75
2021-01-26,S001,102.11
2021-01-26,S002,77.37
2021-01-26,S003,127.75
2021-01-27,S001,92.33
2021-01-27,S002,66.59
2021-01-27,S003,135.55
2021-01-28,S001,104.86
2021-01-28,S002,76.56
2021-01-28,S003,121.89
2021-01-29,S001,97.37
2021-01-29,S002,83.84
2021-01-29,S003,130.4
2021-01-30,S001,115.17
2021-01-30,S002,84.07
2021-01-30,S003,142.35
2021-01-31,S001,113.02
2021-01-31,S002,93.59
2021-01-31,S003,146.15
2021-02-01,S001,117.99
2021-02-01,S002,77.03
2021-02-01,S003,145.68
2021-02-02,S001,103.41
2021-02-02,S002,90.9
2021-02-02,S003,146.21
2021-02-03,S001,95.41
2021-02-03,S002,69.17
2021-02-03,S003,145.02
2021-02-04,S001,110.8
2021-02-04,S002,79.9
2021-02-04,S003,131.54
2021-02-05,S001,94.82
2021-02-05,S002,60.88
2021-02-05,S003,142.89
2021-02-06,S001,121.62
2021-02-06,S002,85.26
2021-02-06,S003,151.93
2021-02-07,S001,104.64
2021-02-07,S002,92.41
2021-02-07,S003,151.79
2021-02-08,S001,95.07
2021-02-08,S002,86.08
2021-02-08,S003,136.21
2021-02-09,S001,107.65
2021-02-09,S002,65.49
2021-02-09,S003,151.31
2021-02-10,S001,112.37
2021-02-10,S002,81.95
2021-02-10,S003,148.58
2021-02-11,S001,108.22
2021-02-11,S002,75.52
2021-02-11,S003,144.04
2021-02-12,S001,106.32
2021-02-12,S002,64.23
2021-02-12,S003,137.14
2021-02-13,S001,120.23
2021-02-13,S002,93.23
2021-02-13,S003,154.25
2021-02-14,S001,111.21
2021-02-14,S002,105.83
2021-02-14,S003,158.61
2021-02-15,S001,102.69
2021-02-15,S002,68.58
2021-02-15,S003,135.62
2021-02-16,S001,105.17
2021-02-16,S002,77.06
2021-02-16,S003,147.74
2021-02-17,S001,117.73
2021-02-17,S002,70.44
2021-02-17,S003,133.31
2021-02-18,S001,112.44
2021-02-18,S002,74.98
2021-02-18,S003,144.27
2021-02-19,S001,96.01
2021-02-19,S002,90.59
2021-02-19,S003,123.27
2021-02-20,S001,128.13
2021-02-20,S002,92.37
2021-02-20,S003,152.63
2021-02-21,S001,122.89
2021-02-21,S002,106.16
2021-02-21,S003,174.12
2021-02-22,S001,105.99
2021-02-22,S002,89.23
2021-02-22,S003,151.25
2021-02-23,S001,116.73
2021-02-23,S002,77.88
2021-02-23,S003,155.71
2021-02-24,S001,120.52
2021-02-24,S002,77.18
2021-02-24,S003,138.56
2021-02-25,S001,120.17
2021-02-25,S002,74.45
2021-02-25,S003,145.2
2021-02-26,S001,106.45
2021-02-26,S002,74.6
2021-02-26,S003,155.1
2021-02-27,S001,126.14
2021-02-27,S002,100.3
2021-02-27,S003,165.39
2021-02-28,S001,131.71
2021-02-28,S002,97.75
2021-02-28,S003,164.87
2021-03-01,S001,122.32
2021-03-01,S002,78.35
2021-03-01,S003,159.33
2021-03-02,S001,111.14
2021-03-02,S002,71.38
2021-03-02,S003,138.45
2021-03-03,S001,113.95
2021-03-03,S002,85.06
2021-03-03,S003,145.79
2021-03-04,S001,107.04
2021-03-04,S002,80.9
2021-03-04,S003,133.72
2021-03-05,S001,106.79
2021-03-05,S002,83.53
2021-03-05,S003,139.48
2021-03-06,S001,138.32
2021-03-06,S002,102.98
2021-03-06,S003,172.33
2021-03-07,S001,143.14
2021-03-07,S002,80.97
2021-03-07,S003,156.9
2021-03-08,S001,117.18
2021-03-08,S002,74.17
2021-03-08,S003,155.62
2021-03-09,S001,126.25
2021-03-09,S002,105.26
2021-03-09,S003,163.5
2021-03-10,S001,121.59
2021-03-10,S002,83.28
2021-03-10,S003,149.31
2021-03-11,S001,114.01
2021-03-11,S002,67.65
2021-03-11,S003,155.4
2021-03-12,S001,122.54
2021-03-12,S002,76.65
2021-03-12,S003,157.69
2021-03-13,S001,147.42
2021-03-13,S002,123.58
2021-03-13,S003,157.48
2021-03-14,S001,135.31
2021-03-14,S002,98.53
2021-03-14,S003,162.83
2021-03-15,S001,133.59
2021-03-15,S002,98.89
2021-03-15,S003,145.23
2021-03-16,S001,100.59
2021-03-16,S002,91.04
2021-03-16,S003,149.48
2021-03-17,S001,128.61
2021-03-17,S002,86.65
2021-03-17,S003,160.01
2021-03-18,S001,123.21
2021-03-18,S002,97.19
2021-03-18,S003,150.03
2021-03-19,S001,120.6
2021-03-19,S002,72.38
2021-03-19,S003,155.02
2021-03-20,S001,139.2
2021-03-20,S002,95.38
2021-03-20,S003,162.47
2021-03-21,S001,123.05
2021-03-21,S002,103.43
2021-03-21,S003,181.13
2021-03-22,S001,122.67
2021-03-22,S002,82.09
2021-03-22,S003,152.47
2021-03-23,S001,127.77
2021-03-23,S002,88.64
2021-03-23,S003,169.52
2021-03-24,S001,137.21
2021-03-24,S002,100.58
2021-03-24,S003,158.34
2021-03-25,S001,121.72
2021-03-25,S002,95.27
2021-03-25,S003,147.1
2021-03-26,S001,119.88
2021-03-26,S002,
2021-03-26,S003,157.5
2021-03-27,S001,137.81
2021-03-27,S002,111.69
2021-03-27,S003,165.87
2021-03-28,S001,149.63
2021-03-28,S002,118.52
2021-03-28,S003,179.6
2021-03-29,S001,130.41
2021-03-29,S002,95.53
2021-03-29,S003,158.3
2021-03-30,S001,124.02
2021-03-30,S002,91.77
2021-03-30,S003,162.2
2021-03-31,S001,132.84
2021-03-31,S002,108.79
2021-03-31,S003,158.44
2021-04-01,S001,129.98
2021-04-01,S002,91.73
2021-04-01,S003,157.46
2021-04-02,S001,137.42
2021-04-02,S002,100.6
2021-04-02,S003,154.62
2021-04-03,S001,139.53
2021-04-03,S002,119.46
2021-04-03,S003,184.59
2021-04-04,S001,142.99
2021-04-04,S002,120.48
2021-04-04,S003,177.02
2021-04-05,S001,127.94
2021-04-05,S002,89.88
2021-04-05,S003,161.38
2021-04-06,S001,119.84
2021-04-06,S002,108.06
2021-04-06,S003,162.81
2021-04-07,S001,134.38
2021-04-07,S002,92.26
2021-04-07,S003,159.46
2021-04-08,S001,134.56
2021-04-08,S002,107.01
2021-04-08,S003,162.89
2021-04-09,S001,132.97
2021-04-09,S002,105.25
2021-04-09,S003,167.51
2021-04-10,S001,146.51
2021-04-10,S002,122.95
2021-04-10,S003,173.08
2021-04-11,S001,137.51
2021-04-11,S002,107.2
2021-04-11,S003,174.72
2021-04-12,S001,130.92
2021-04-12,S002,106.97
2021-04-12,S003,178.34
2021-04-13,S001,131.99
2021-04-13,S002,111.38
2021-04-13,S003,164.89
2021-04-14,S001,128.76
2021-04-14,S002,104.67
2021-04-14,S003,163.86
2021-04-15,S001,134.33
2021-04-15,S002,96.99
2021-04-15,S003,157.99
2021-04-16,S001,139.29
2021-04-16,S002,111.32
2021-04-16,S003,176.02
2021-04-17,S001,166.59
2021-04-17,S002,120.29
2021-04-17,S003,176.23
2021-04-18,S001,153.33
2021-04-18,S002,106.4
2021-04-18,S003,185.02
2021-04-19,S001,139.42
2021-04-19,S002,98.03
2021-04-19,S003,156.94
2021-04-20,S001,137.19
2021-04-20,S002,101.4
2021-04-20,S003,177.6
2021-04-21,S001,122.86
2021-04-21,S002,118.06
2021-04-21,S003,180.92
2021-04-22,S001,138.42
2021-04-22,S002,117.05
2021-04-22,S003,175.83
2021-04-23,S001,139.52
2021-04-23,S002,117.42
2021-04-23,S003,160.13
2021-04-24,S001,174.16
2021-04-24,S002,124.05
2021-04-24,S003,194.55
2021-04-25,S001,153.32
2021-04-25,S002,129.89
2021-04-25,S003,181.66
2021-04-26,S001,142.67
2021-04-26,S002,98.84
2021-04-26,S003,164.34
2021-04-27,S001,140.38
2021-04-27,S002,108.39
2021-04-27,S003,171.07
2021-04-28,S001,131.7
2021-04-28,S002,112.33
2021-04-28,S003,171.34
2021-04-29,S001,150.58
2021-04-29,S002,100.48
2021-04-29,S003,170.94
2021-04-30,S001,147.84
2021-04-30,S002,111.13
2021-04-30,S003,185.59
2021-05-01,S001,163.53
2021-05-01,S002,138.3
2021-05-01,S003,206.9
2021-05-02,S001,150.31
2021-05-02,S002,129.63
2021-05-02,S003,180.26
2021-05-03,S001,154.17
2021-05-03,S002,117.85
2021-05-03,S003,171.1
2021-05-04,S001,132.1
2021-05-04,S002,91.24
2021-05-04,S003,178.15
2021-05-05,S001,148.37
2021-05-05,S002,123.66
2021-05-05,S003,174.29
2021-05-06,S001,161.56
2021-05-06,S002,110.04
2021-05-06,S003,180.98
2021-05-07,S001,136.46
2021-05-07,S002,105.71
2021-05-07,S003,185.49
2021-05-08,S001,155.2
2021-05-08,S002,125.79
2021-05-08,S003,199.53
2021-05-09,S001,160.86
2021-05-09,S002,115.62
2021-05-09,S003,198.78
2021-05-10,S001,141.37
2021-05-10,S002,121.2
2021-05-10,S003,192.54
2021-05-11,S001,133.32
2021-05-11,S002,110.44
2021-05-11,S003,166.91
2021-05-12,S001,146.6
2021-05-12,S002,107.52
2021-05-12,S003,191.82
2021-05-13,S001,137.87
2021-05-13,S002,112.38
2021-05-13,S003,177.02
2021-05-14,S001,150.46
2021-05-14,S002,122.96
2021-05-14,S003,186.95
2021-05-15,S001,154.62
2021-05-15,S002,130.35
2021-05-15,S003,187.76
2021-05-16,S001,174.68
2021-05-16,S002,118.3
2021-05-16,S003,189.06
2021-05-17,S001,141.3
2021-05-17,S002,118.57
2021-05-17,S003,186.95
2021-05-18,S001,145.28
2021-05-18,S002,107.68
2021-05-18,S003,166.54
2021-05-19,S001,154.64
2021-05-19,S002,98.13
2021-05-19,S003,190.19
2021-05-20,S001,138.56
2021-05-20,S002,127.6
2021-05-20,S003,192.66
2021-05-21,S001,150.5
2021-05-21,S002,119.54
2021-05-21,S003,184.3
2021-05-22,S001,174.4
2021-05-22,S002,130.49
2021-05-22,S003,199.3
2021-05-23,S001,151.33
2021-05-23,S002,128.59
2021-05-23,S003,191.78
2021-05-24,S001,150.92
2021-05-24,S002,127.76
2021-05-24,S003,189.13
2021-05-25,S001,151.76
2021-05-25,S002,141.5
2021-05-25,S003,186.78
2021-05-26,S001,156.17
2021-05-26,S002,120.61
2021-05-26,S003,176.9
2021-05-27,S001,140.25
2021-05-27,S002,108.99
2021-05-27,S003,181.39
2021-05-28,S001,139.8
2021-05-28,S002,116.19
2021-05-28,S003,183.5
2021-05-29,S001,169.76
2021-05-29,S002,136.07
2021-05-29,S003,196.88
2021-05-30,S001,168.16
2021-05-30,S002,114.01
2021-05-30,S003,189.36
2021-05-31,S001,152.99
2021-05-31,S002,120.67
2021-05-31,S003,191.08
2021-06-01,S001,153.95
2021-06-01,S002,121.65
2021-06-01,S003,183.76
2021-06-02,S001,145.93
2021-06-02,S002,128.94
2021-06-02,S003,186.05
2021-06-03,S001,153.41
2021-06-03,S002,128.27
2021-06-03,S003,181.51
2021-06-04,S001,154.07
2021-06-04,S002,119.53
2021-06-04,S003,190.14
2021-06-05,S001,161.17
2021-06-05,S002,145.9
2021-06-05,S003,203.13
2021-06-06,S001,181.97
2021-06-06,S002,150.21
2021-06-06,S003,211.43
2021-06-07,S001,155.99
2021-06-07,S002,119.28
2021-06-07,S003,190.75
2021-06-08,S001,142.81
2021-06-08,S002,122.53
2021-06-08,S003,185.46
2021-06-09,S001,157.73
2021-06-09,S002,105.16
2021-06-09,S003,181.33
2021-06-10,S001,144.81
2021-06-10,S002,107.8
2021-06-10,S003,194.34
2021-06-11,S001,159.03
2021-06-11,S002,112.8
2021-06-11,S003,185.3
2021-06-12,S001,177.11
2021-06-12,S002,131.06
2021-06-12,S003,201.33
2021-06-13,S001,161.39
2021-06-13,S002,125.92
2021-06-13,S003,201.47
2021-06-14,S001,160.76
2021-06-14,S002,119.48
2021-06-14,S003,184.76
2021-06-15,S001,156.45
2021-06-15,S002,116.54
2021-06-15,S003,186.86
2021-06-16,S001,159.81
2021-06-16,S002,128.48
2021-06-16,S003,203.62
2021-06-17,S001,168.48
2021-06-17,S002,116.17
2021-06-17,S003,179.94
2021-06-18,S001,151.42
2021-06-18,S002,101.73
2021-06-18,S003,181.9
2021-06-19,S001,162.41
2021-06-19,S002,136.07
2021-06-19,S003,214.59
2021-06-20,S001,161.38
2021-06-20,S002,134.99
2021-06-20,S003,200.6
2021-06-21,S001,147.02
2021-06-21,S002,113.23
2021-06-21,S003,185.07
2021-06-22,S001,152.97
2021-06-22,S002,120.91
2021-06-22,S003,197.03
2021-06-23,S001,156.35
2021-06-23,S002,111.56
2021-06-23,S003,177.45
2021-06-24,S001,155.86
2021-06-24,S002,122.81
2021-06-24,S003,195.44
2021-06-25,S001,160.29
2021-06-25,S002,141.23
2021-06-25,S003,189.28
2021-06-26,S001,168.78
2021-06-26,S002,120.72
